timestamp,mn_grade_pct,fe_content_pct,siO2_content_pct,al2O3_content_pct,p_content_pct,moisture_pct,p80_mm,work_index_kwh_t,specific_gravity,ore_type
2020-08-26 00:00:00,44.13,5.0,1.84,5.61,0.193,8.9,13.0,22.0,3.78,oxide
2026-02-08 06:00:00,69.75,-2.78,-1.11,5.64,0.161,5.2,19.4,22.0,4.71,carbonate
2024-06-27 06:00:00,77.71,-5.01,-1.21,5.66,0.248,7.7,6.7,22.0,4.71,oxide
2024-04-25 00:00:00,44.13,5.32,1.53,7.4,0.286,8.3,11.1,22.0,4.07,carbonate
2025-06-18 00:00:00,46.92,3.5,0.56,5.97,0.162,7.4,25.7,22.0,4.24,carbonate
2023-02-05 06:00:00,77.71,-5.53,-0.95,6.07,0.239,5.8,11.5,22.0,4.95,oxide
2021-07-08 18:00:00,57.57,0.67,0.08,6.8,0.276,6.4,13.5,22.0,4.3,silicate
2026-06-20 00:00:00,55.29,1.68,0.27,7.02,0.188,5.8,29.1,22.0,4.49,oxide
2021-10-08 12:00:00,44.13,5.25,0.94,5.09,0.243,7.9,17.7,22.0,3.98,oxide
2024-02-19 00:00:00,77.71,-6.44,-1.97,7.75,0.257,9.4,16.4,22.0,4.76,silicate
2024-09-22 18:00:00,55.69,1.23,0.43,5.94,0.291,7.2,12.2,22.0,4.3,oxide
2021-02-09 18:00:00,50.74,2.48,0.46,5.96,0.187,7.8,10.7,22.0,4.01,oxide
2024-12-30 06:00:00,53.13,2.31,0.38,6.4,0.191,8.8,7.4,22.0,4.3,oxide
2020-04-22 00:00:00,53.14,2.06,0.6,5.35,0.288,7.6,13.4,22.0,4.23,oxide
2023-09-22 06:00:00,51.27,2.47,0.32,6.01,0.079,7.8,21.8,22.0,4.2,carbonate
2022-06-10 06:00:00,62.97,-0.87,-0.39,5.34,0.193,7.5,7.9,22.0,4.36,silicate
2024-08-28 12:00:00,47.18,3.83,1.06,5.4,0.096,7.1,10.2,22.0,4.06,silicate
2020-01-09 00:00:00,61.75,-0.55,-0.07,7.06,0.175,9.6,14.4,22.0,4.47,carbonate
2021-05-27 18:00:00,47.8,3.67,0.42,6.61,0.139,8.5,13.6,22.0,4.05,oxide
2023-08-10 00:00:00,44.13,5.27,1.98,6.69,0.078,5.8,16.9,22.0,3.95,oxide
2026-03-02 00:00:00,67.94,-2.18,-0.57,7.52,0.107,7.0,15.5,22.0,4.56,oxide
2022-10-12 18:00:00,68.22,-2.23,-0.66,5.26,0.172,8.3,15.6,22.0,4.73,carbonate
2025-01-30 12:00:00,56.21,1.25,0.48,5.18,0.09,5.2,13.9,22.0,4.38,silicate
2025-05-30 06:00:00,60.69,-0.23,-0.03,5.63,0.222,9.3,20.3,22.0,4.49,carbonate
2021-07-26 00:00:00,51.83,2.91,0.82,5.35,0.128,9.7,16.5,22.0,4.11,carbonate
2021-03-02 18:00:00,77.71,-6.18,-1.86,6.73,0.132,9.2,17.6,22.0,4.94,silicate
2024-05-14 06:00:00,44.13,4.74,0.59,7.89,0.101,6.3,13.9,22.0,4.14,oxide
2023-05-10 12:00:00,45.55,5.19,1.24,7.52,0.288,9.8,22.9,22.0,4.14,oxide
2021-06-13 18:00:00,58.55,0.47,0.16,5.7,0.155,5.7,24.6,22.0,4.4,oxide
2025-12-13 06:00:00,59.82,0.06,0.02,7.86,0.278,6.8,25.5,22.0,4.44,oxide
2024-11-25 12:00:00,73.08,-4.57,-0.85,7.63,0.15,7.7,14.3,22.0,4.67,oxide
2020-06-20 18:00:00,55.41,1.56,0.56,7.58,0.245,5.1,8.9,22.0,4.25,carbonate
2023-07-16 18:00:00,44.13,5.37,0.73,6.59,0.17,7.1,12.0,22.0,4.11,oxide
2025-08-20 00:00:00,44.13,5.55,1.85,5.5,0.258,7.7,13.9,22.0,4.03,oxide
2020-07-04 06:00:00,44.13,5.57,1.55,7.8,0.165,9.7,11.1,22.0,4.17,oxide
2022-09-15 18:00:00,51.61,3.0,0.36,7.37,0.262,9.6,30.5,22.0,4.17,oxide
2026-01-18 12:00:00,77.71,-6.29,-1.04,6.98,0.185,7.4,12.2,22.0,4.66,oxide
2023-07-01 00:00:00,44.93,5.28,0.75,6.08,0.196,8.6,27.7,22.0,4.11,carbonate
2023-09-19 12:00:00,50.47,2.8,0.87,7.36,0.133,5.2,13.5,22.0,4.33,silicate
2022-03-09 12:00:00,44.13,5.17,1.96,5.64,0.227,5.2,26.9,22.0,4.08,carbonate
2022-12-22 18:00:00,44.13,5.77,1.14,5.64,0.282,9.6,19.1,22.0,4.01,carbonate
2023-04-09 18:00:00,44.13,5.05,1.0,5.98,0.286,8.9,39.0,22.0,4.17,oxide
2021-03-21 12:00:00,44.13,5.64,1.8,7.62,0.139,5.8,10.1,22.0,4.21,oxide
2022-10-15 00:00:00,44.13,5.05,1.58,6.19,0.082,5.8,22.7,22.0,4.01,oxide
2020-09-25 18:00:00,53.46,2.17,0.36,7.02,0.213,7.4,10.7,22.0,4.19,carbonate
2022-07-21 18:00:00,48.36,4.21,1.02,7.04,0.086,5.0,25.2,22.0,4.17,oxide
2025-05-16 18:00:00,56.54,1.1,0.12,7.2,0.263,5.7,8.2,22.0,4.41,carbonate
2025-01-28 00:00:00,77.71,-4.87,-1.48,7.68,0.286,5.3,12.8,22.0,4.62,oxide
2021-01-04 12:00:00,47.51,4.16,1.31,7.76,0.261,7.4,12.5,22.0,4.11,carbonate
2023-05-23 18:00:00,44.13,5.8,0.99,7.5,0.117,6.3,17.7,22.0,4.02,carbonate
2026-08-12 18:00:00,66.37,-1.81,-0.77,6.93,0.278,7.7,19.1,22.0,4.6,oxide
2020-11-22 06:00:00,47.35,4.51,1.25,5.14,0.175,8.3,18.5,22.0,4.17,oxide
2025-05-03 06:00:00,56.33,1.02,0.4,7.17,0.262,8.4,8.8,22.0,4.36,oxide
2024-05-11 12:00:00,57.37,0.95,0.2,7.27,0.207,5.0,13.7,22.0,4.5,oxide
2020-08-21 00:00:00,44.13,4.53,1.39,7.93,0.251,8.7,13.0,22.0,4.14,oxide
2021-05-17 12:00:00,44.13,4.87,1.76,6.12,0.219,8.1,11.8,22.0,4.11,oxide
2025-05-19 12:00:00,44.13,4.62,1.75,6.2,0.23,7.6,11.8,22.0,3.97,oxide
2023-09-18 00:00:00,58.78,0.34,0.15,6.63,0.148,9.8,33.8,22.0,4.43,oxide
2021-11-24 06:00:00,44.13,4.48,1.06,7.57,0.223,9.4,8.3,22.0,4.02,oxide
2024-04-06 18:00:00,55.59,1.39,0.45,6.47,0.146,8.0,10.5,22.0,4.21,oxide
2024-10-28 00:00:00,44.13,4.27,0.65,7.97,0.191,5.6,10.3,22.0,4.06,silicate
2024-06-04 00:00:00,44.13,4.83,2.04,6.44,0.119,6.4,15.6,22.0,4.16,oxide
2021-12-21 06:00:00,44.13,5.52,1.41,5.9,0.133,8.5,27.3,22.0,4.1,oxide
2021-09-07 18:00:00,44.13,5.79,2.03,7.31,0.128,6.5,13.7,22.0,3.97,silicate
2024-07-09 06:00:00,44.13,4.6,1.43,7.76,0.136,7.0,12.5,22.0,4.07,oxide
2026-09-28 18:00:00,59.16,0.29,0.06,5.82,0.062,8.9,9.8,22.0,4.3,carbonate
2025-09-29 06:00:00,55.89,1.29,0.53,7.7,0.111,5.6,21.4,22.0,4.45,oxide
2023-05-28 00:00:00,45.81,4.18,1.0,5.69,0.241,7.2,10.2,22.0,4.14,oxide
2022-11-06 18:00:00,44.13,4.28,2.1,5.68,0.232,7.0,16.2,22.0,3.96,carbonate
2021-04-06 18:00:00,47.81,3.46,0.67,7.88,0.192,6.3,17.3,22.0,4.18,silicate
2024-02-28 12:00:00,44.13,4.24,1.52,6.59,0.24,8.6,16.0,22.0,4.15,oxide
2025-03-10 18:00:00,77.71,-5.4,-0.77,5.69,0.249,10.0,9.9,22.0,4.94,oxide
2022-04-20 06:00:00,44.13,5.62,1.94,6.64,0.216,9.9,5.2,22.0,3.99,carbonate
2025-08-04 06:00:00,59.92,0.02,0.01,6.33,0.212,6.8,24.9,22.0,4.4,oxide
2021-12-20 00:00:00,46.81,4.5,0.65,6.24,0.064,6.2,13.6,22.0,3.9,oxide
2022-10-16 06:00:00,44.13,5.06,1.77,5.66,0.072,9.0,21.6,22.0,4.0,silicate
2023-08-25 12:00:00,52.75,2.44,0.27,7.14,0.072,10.0,12.9,22.0,4.03,carbonate
2025-02-09 06:00:00,47.89,3.6,0.78,7.2,0.196,5.6,15.3,22.0,4.19,oxide
2023-02-06 00:00:00,61.02,-0.28,-0.11,6.08,0.21,5.7,22.6,22.0,4.6,oxide
2025-04-10 06:00:00,56.67,1.03,0.29,5.61,0.106,8.6,14.8,22.0,4.15,oxide
2020-10-23 00:00:00,46.07,5.09,1.12,6.3,0.188,8.7,30.9,22.0,4.27,oxide
2025-05-27 12:00:00,44.13,5.09,1.23,5.88,0.056,9.4,18.5,22.0,4.02,oxide
2021-04-20 06:00:00,56.09,1.2,0.22,6.74,0.214,5.2,23.4,22.0,4.23,oxide
2025-09-03 00:00:00,51.27,2.94,0.46,5.22,0.155,7.0,14.2,22.0,4.27,carbonate
2020-06-23 18:00:00,58.65,0.47,0.05,7.17,0.185,5.8,16.1,22.0,4.51,oxide
2020-04-30 06:00:00,46.55,4.61,1.27,6.31,0.244,5.1,23.5,22.0,4.05,oxide
2022-07-06 12:00:00,77.71,-5.68,-1.65,5.78,0.092,7.9,16.3,22.0,4.71,carbonate
2022-08-06 06:00:00,57.68,0.81,0.08,5.33,0.137,9.5,9.5,22.0,4.25,carbonate
2026-07-16 06:00:00,57.93,0.71,0.21,5.87,0.23,6.4,44.1,22.0,4.33,carbonate
2020-05-17 18:00:00,59.17,0.25,0.08,7.01,0.24,7.5,23.3,22.0,4.37,silicate
2023-01-15 12:00:00,73.16,-4.49,-1.67,7.58,0.057,5.9,11.8,22.0,4.63,oxide
2023-11-12 06:00:00,44.13,4.57,1.13,5.17,0.116,9.3,21.0,22.0,4.1,oxide
2024-12-09 18:00:00,44.13,5.42,1.28,5.35,0.131,9.7,21.3,22.0,3.98,carbonate
2022-12-29 00:00:00,44.68,4.87,0.95,7.49,0.076,5.5,20.1,22.0,3.94,oxide
2025-01-08 06:00:00,44.13,5.4,1.64,5.73,0.199,8.5,21.9,22.0,4.06,oxide
2020-04-07 12:00:00,47.35,4.41,0.7,5.91,0.119,9.3,13.7,22.0,4.02,oxide
2021-02-25 00:00:00,44.13,4.66,1.8,7.07,0.254,8.6,7.8,22.0,4.05,oxide
2025-04-15 00:00:00,77.71,-5.2,-1.57,5.73,0.058,9.1,11.2,22.0,4.84,carbonate
2024-11-19 00:00:00,50.98,2.63,0.59,5.8,0.239,5.6,20.5,22.0,4.09,oxide
2021-07-05 12:00:00,77.71,-6.09,-0.69,7.59,0.11,5.1,7.6,22.0,4.8,oxide
2020-09-27 06:00:00,55.83,1.2,0.38,5.61,0.277,8.5,14.1,22.0,4.33,oxide
2024-09-03 18:00:00,49.5,3.49,0.53,7.74,0.28,9.3,9.4,22.0,4.13,oxide
2021-02-04 12:00:00,51.08,2.83,0.94,5.06,0.15,8.3,11.7,22.0,4.15,oxide
2023-01-17 12:00:00,53.44,2.1,0.81,5.29,0.226,9.9,11.2,22.0,4.34,oxide
2020-07-13 06:00:00,57.56,0.87,0.22,7.39,0.293,7.8,12.5,22.0,4.38,oxide
2022-01-04 06:00:00,57.87,0.61,0.24,5.92,0.065,8.9,16.0,22.0,4.42,oxide
2024-01-24 18:00:00,77.71,-5.03,-1.94,5.92,0.278,5.3,23.9,22.0,4.74,oxide
2022-11-24 18:00:00,44.13,4.8,1.21,7.48,0.109,6.2,23.3,22.0,4.21,oxide
2022-10-21 12:00:00,59.59,0.13,0.02,5.3,0.259,9.3,17.5,22.0,4.1,oxide
2025-03-19 06:00:00,77.71,-6.25,-1.03,5.92,0.299,8.0,6.6,22.0,4.69,carbonate
2020-01-14 18:00:00,77.71,-6.33,-1.19,6.92,0.207,8.9,23.5,22.0,4.82,silicate
2024-02-03 12:00:00,66.63,-1.93,-0.78,7.09,0.247,9.2,8.8,22.0,4.58,oxide
2024-03-22 12:00:00,47.56,4.5,1.06,6.46,0.096,7.3,22.7,22.0,4.27,oxide
2022-07-03 06:00:00,44.13,4.6,1.2,6.17,0.192,7.4,24.6,22.0,4.18,oxide
2026-07-27 00:00:00,46.31,4.61,0.67,6.21,0.149,5.9,14.2,22.0,4.04,oxide
2022-09-30 00:00:00,46.14,4.99,0.59,5.86,0.18,5.0,26.4,22.0,4.05,oxide
2020-11-02 12:00:00,62.82,-0.91,-0.15,7.0,0.282,6.5,22.5,22.0,4.55,oxide
2026-05-15 18:00:00,69.34,-3.32,-0.45,7.17,0.23,5.9,35.0,22.0,4.67,oxide
2020-02-23 12:00:00,56.4,1.16,0.3,7.03,0.16,7.5,11.7,22.0,4.33,carbonate
2025-10-06 06:00:00,77.71,-5.9,-1.34,6.31,0.216,10.0,13.3,22.0,4.58,oxide
2025-04-04 00:00:00,72.75,-4.61,-1.1,5.75,0.111,7.7,11.1,22.0,4.6,carbonate
2025-01-24 06:00:00,73.65,-4.45,-1.79,7.91,0.297,5.4,9.8,22.0,4.74,carbonate
2023-12-18 18:00:00,44.13,5.02,1.05,6.96,0.067,6.4,19.7,22.0,4.03,oxide
2021-05-29 12:00:00,67.08,-2.3,-0.72,5.33,0.176,9.5,20.2,22.0,4.5,oxide
2021-09-11 00:00:00,57.85,0.72,0.07,6.13,0.056,9.8,12.5,22.0,4.34,oxide
2023-04-22 06:00:00,45.24,4.83,1.01,6.11,0.256,6.0,14.4,22.0,4.21,carbonate
2024-02-16 00:00:00,44.13,5.6,1.49,5.12,0.081,5.8,28.1,22.0,4.19,carbonate
2025-12-30 06:00:00,44.13,4.88,0.93,6.72,0.269,9.2,8.7,22.0,4.22,oxide
2022-01-30 00:00:00,74.46,-4.71,-1.09,7.86,0.276,8.0,9.3,22.0,4.6,carbonate
2024-07-19 18:00:00,46.81,4.8,0.48,6.96,0.224,9.0,14.4,22.0,3.97,oxide
2025-08-08 12:00:00,73.29,-4.76,-1.47,5.62,0.157,6.8,6.2,22.0,4.62,oxide
2024-10-01 00:00:00,54.51,1.84,0.54,7.88,0.24,9.9,12.5,22.0,4.14,carbonate
2026-04-11 06:00:00,68.7,-2.67,-1.06,6.48,0.128,5.3,25.5,22.0,4.43,oxide
2025-07-05 18:00:00,44.13,4.97,1.74,6.16,0.195,8.3,18.0,22.0,4.06,oxide
2022-08-12 18:00:00,44.13,5.04,1.17,7.28,0.236,9.4,21.5,22.0,4.1,carbonate
2026-01-04 00:00:00,49.74,3.63,0.82,6.75,0.256,6.9,16.6,22.0,4.16,carbonate
2024-10-04 06:00:00,50.73,2.96,1.08,5.7,0.255,9.5,18.7,22.0,4.23,carbonate
2022-12-09 06:00:00,58.24,0.6,0.16,6.76,0.278,7.7,6.0,22.0,4.2,oxide
2025-09-14 06:00:00,76.77,-5.28,-0.63,7.38,0.203,6.4,17.4,22.0,4.86,oxide
2020-05-12 18:00:00,44.13,4.53,0.66,7.86,0.265,8.8,13.7,22.0,4.17,oxide
2022-09-06 18:00:00,60.9,-0.27,-0.1,5.56,0.146,10.0,8.7,22.0,4.61,oxide
2026-02-23 18:00:00,77.71,-5.91,-0.8,7.1,0.234,5.5,10.5,22.0,4.79,oxide
2025-03-07 12:00:00,44.76,5.34,0.54,7.77,0.27,5.7,29.7,22.0,3.96,silicate
2021-05-01 00:00:00,74.71,-4.92,-1.27,7.06,0.076,6.0,17.3,22.0,4.67,carbonate
2020-03-14 18:00:00,50.36,2.76,1.08,6.29,0.071,8.9,20.8,22.0,4.22,oxide
2022-10-27 00:00:00,51.67,2.95,0.41,6.6,0.124,9.3,14.2,22.0,4.23,oxide
2024-09-14 00:00:00,44.13,5.7,1.04,5.27,0.122,9.7,11.5,22.0,4.06,oxide
2023-02-09 12:00:00,44.13,5.42,0.64,7.87,0.204,8.6,20.1,22.0,3.95,oxide
2024-12-15 18:00:00,51.12,2.46,0.46,5.63,0.133,6.9,14.9,22.0,4.51,carbonate
2023-12-01 06:00:00,77.71,-6.02,-0.99,5.04,0.298,9.4,13.5,22.0,4.66,oxide
2021-09-16 06:00:00,57.01,0.85,0.35,7.56,0.231,8.3,18.8,22.0,4.27,oxide
2023-08-04 18:00:00,44.13,4.57,1.7,6.63,0.064,7.0,23.4,22.0,4.11,carbonate
2020-07-25 00:00:00,54.24,1.69,0.72,5.42,0.267,8.1,18.2,22.0,4.31,carbonate
2024-05-23 00:00:00,44.13,5.7,0.75,7.64,0.097,6.7,8.9,22.0,3.99,oxide
2021-03-10 06:00:00,45.01,4.04,1.92,6.2,0.216,8.7,11.6,22.0,4.17,carbonate
2022-11-15 06:00:00,44.13,5.24,1.83,5.3,0.086,9.8,15.5,22.0,3.95,oxide
2022-04-22 00:00:00,69.91,-3.02,-0.52,6.55,0.172,8.0,11.0,22.0,4.54,carbonate
2020-02-29 18:00:00,77.71,-6.16,-2.19,6.15,0.182,5.2,16.6,22.0,4.87,oxide
2020-09-20 18:00:00,50.69,2.69,1.14,7.22,0.21,7.8,6.3,22.0,4.02,oxide
2022-10-16 18:00:00,56.57,0.95,0.45,7.59,0.211,8.1,15.6,22.0,4.15,oxide
2020-07-03 00:00:00,66.95,-2.04,-0.59,6.13,0.149,6.3,14.0,22.0,4.52,carbonate
2025-11-19 12:00:00,45.0,4.13,1.26,5.16,0.105,9.5,17.7,22.0,4.06,oxide
2021-07-03 12:00:00,51.15,2.96,0.8,5.91,0.126,9.7,17.1,22.0,4.21,oxide
2021-05-24 12:00:00,61.53,-0.49,-0.16,5.87,0.162,7.6,21.3,22.0,4.34,carbonate
2024-05-19 06:00:00,48.57,3.18,1.34,5.19,0.157,6.7,14.1,22.0,4.08,carbonate
2025-04-20 18:00:00,67.7,-2.21,-0.36,7.34,0.15,6.7,18.4,22.0,4.46,carbonate
2021-01-14 12:00:00,45.6,4.5,0.55,6.41,0.221,6.0,12.7,22.0,4.16,silicate
2023-12-06 06:00:00,46.03,4.59,1.59,6.93,0.207,8.0,8.6,22.0,4.31,oxide
2020-07-21 12:00:00,58.62,0.43,0.11,6.18,0.147,7.8,7.2,22.0,4.31,oxide
2020-10-01 00:00:00,63.48,-1.2,-0.2,5.13,0.257,5.5,37.7,22.0,4.4,oxide
2021-09-19 12:00:00,71.64,-3.71,-0.93,5.72,0.222,5.5,15.0,22.0,4.78,oxide
2021-07-17 00:00:00,44.13,5.4,2.09,5.85,0.068,6.3,16.9,22.0,4.08,carbonate
2024-09-15 06:00:00,49.75,2.93,0.7,6.35,0.077,7.0,22.0,22.0,4.22,oxide
2024-08-21 18:00:00,59.02,0.31,0.12,5.41,0.202,5.2,15.5,22.0,4.43,oxide
2021-07-12 00:00:00,44.13,4.45,1.8,7.93,0.107,5.1,12.5,22.0,4.13,carbonate
2020-04-13 12:00:00,68.5,-2.68,-1.09,5.26,0.102,5.8,6.7,22.0,4.57,carbonate
2025-03-29 00:00:00,77.71,-5.15,-1.06,6.85,0.27,5.5,16.2,22.0,4.99,carbonate
2020-06-21 12:00:00,55.64,1.54,0.51,6.78,0.201,6.0,16.7,22.0,4.25,silicate
2025-02-01 06:00:00,46.98,3.54,0.68,7.2,0.093,9.6,38.5,22.0,4.22,oxide
2021-06-20 18:00:00,48.36,3.62,1.38,6.17,0.217,6.7,16.5,22.0,3.88,oxide
2022-05-18 18:00:00,44.13,5.76,1.91,5.1,0.261,5.5,12.5,22.0,4.21,carbonate
2026-05-16 12:00:00,77.71,-6.41,-1.66,6.1,0.118,5.3,18.2,22.0,4.6,carbonate
2020-06-19 12:00:00,52.97,2.51,0.49,5.62,0.249,9.4,26.5,22.0,4.11,oxide
2024-10-28 18:00:00,69.88,-2.84,-0.84,7.39,0.264,9.4,23.6,22.0,4.79,silicate
2025-01-29 12:00:00,44.13,5.35,1.73,5.9,0.272,7.6,19.5,22.0,4.05,oxide
2024-02-09 18:00:00,52.6,2.71,0.41,7.08,0.262,6.9,8.4,22.0,4.16,oxide
2024-10-29 18:00:00,44.13,4.92,0.61,5.51,0.22,6.4,8.1,22.0,4.01,oxide
2021-02-15 12:00:00,58.62,0.48,0.1,7.02,0.078,6.2,11.1,22.0,4.34,carbonate
2024-06-07 06:00:00,47.18,3.66,1.68,7.77,0.291,9.1,11.4,22.0,4.17,oxide
2021-11-29 06:00:00,46.95,4.55,0.67,6.47,0.106,9.5,14.4,22.0,4.21,oxide
2023-03-28 00:00:00,77.71,-5.39,-0.62,6.23,0.138,9.8,37.0,22.0,4.86,oxide
2026-01-01 18:00:00,77.71,-5.06,-1.29,6.34,0.264,8.2,11.8,22.0,4.84,oxide
2026-02-04 18:00:00,44.13,5.2,1.23,6.3,0.06,8.0,11.4,22.0,4.1,oxide
2020-11-09 18:00:00,44.13,4.46,1.94,7.03,0.284,7.2,23.6,22.0,4.13,carbonate
2023-05-26 06:00:00,57.77,0.74,0.16,5.63,0.246,5.7,16.3,22.0,4.46,oxide
2023-01-31 12:00:00,76.27,-4.35,-1.77,7.59,0.21,8.2,35.7,22.0,4.68,oxide
2023-06-15 06:00:00,77.71,-5.67,-1.21,5.03,0.074,9.1,7.1,22.0,4.86,oxide
2026-05-03 06:00:00,44.63,4.55,1.35,7.62,0.135,5.6,14.4,22.0,4.18,oxide
2021-01-07 12:00:00,52.54,2.63,0.95,5.31,0.205,6.3,19.3,22.0,4.48,oxide
2022-12-28 00:00:00,50.67,2.59,0.72,6.92,0.114,5.5,10.7,22.0,4.36,carbonate
2025-08-26 18:00:00,67.21,-1.95,-0.57,5.85,0.225,8.0,7.6,22.0,4.38,silicate
2023-08-22 00:00:00,44.13,5.4,0.81,5.32,0.135,6.9,21.2,22.0,3.98,carbonate
2024-03-29 06:00:00,53.74,1.79,0.69,7.56,0.109,9.0,20.0,22.0,4.26,oxide
2025-06-15 00:00:00,54.91,1.85,0.62,7.49,0.066,7.4,5.6,22.0,4.21,oxide
2024-12-05 12:00:00,77.71,-5.97,-1.84,5.66,0.118,6.6,16.8,22.0,4.86,oxide
2020-05-13 12:00:00,50.99,2.9,1.14,6.62,0.077,5.7,14.5,22.0,4.21,oxide
2024-12-29 12:00:00,50.02,3.4,0.62,7.55,0.271,6.2,17.2,22.0,4.21,oxide
2023-11-05 00:00:00,58.95,0.37,0.04,7.51,0.132,9.0,12.0,22.0,4.38,silicate
2024-05-20 00:00:00,72.5,-3.76,-1.04,5.54,0.087,6.5,15.1,22.0,4.68,oxide
2020-03-25 06:00:00,56.3,1.24,0.16,7.88,0.29,8.1,32.8,22.0,4.34,oxide
2023-06-27 18:00:00,55.89,1.34,0.23,5.49,0.158,6.1,13.0,22.0,4.35,carbonate
2021-07-07 12:00:00,53.85,2.0,0.28,7.45,0.283,9.2,14.3,22.0,4.27,carbonate
2023-10-19 12:00:00,46.31,3.79,0.65,7.55,0.253,9.6,14.3,22.0,4.11,oxide
2022-12-03 18:00:00,52.99,2.23,0.84,5.96,0.113,9.5,25.9,22.0,4.32,silicate
2023-12-22 12:00:00,44.13,5.67,1.25,7.77,0.093,8.4,18.7,22.0,4.06,oxide
2020-06-10 00:00:00,57.59,0.69,0.1,7.17,0.076,6.3,14.3,22.0,4.37,carbonate
2022-02-04 06:00:00,56.11,1.12,0.44,7.48,0.084,7.0,13.3,22.0,4.32,oxide
2024-12-11 06:00:00,44.3,4.34,1.76,7.31,0.278,9.0,10.6,22.0,4.18,oxide
2023-03-24 18:00:00,61.3,-0.41,-0.07,6.9,0.11,7.2,13.2,22.0,4.49,oxide
2024-04-10 06:00:00,71.99,-3.97,-1.42,7.28,0.203,8.8,16.5,22.0,4.46,carbonate
2026-04-28 00:00:00,72.82,-4.31,-0.87,6.85,0.096,8.9,21.6,22.0,4.54,oxide
2023-11-12 12:00:00,51.67,3.0,0.9,5.35,0.153,8.4,20.3,22.0,4.21,carbonate
2025-07-10 00:00:00,62.64,-0.82,-0.28,6.07,0.284,9.5,8.7,22.0,4.53,carbonate
2025-04-12 06:00:00,68.52,-2.53,-0.42,6.52,0.254,8.2,35.6,22.0,4.55,oxide
2026-03-19 18:00:00,44.13,4.93,0.75,6.54,0.183,8.2,9.1,22.0,4.04,oxide
2024-05-09 12:00:00,53.16,2.46,0.72,5.65,0.281,8.0,13.5,22.0,4.38,silicate
2021-01-10 12:00:00,48.51,3.96,0.98,5.38,0.137,5.3,15.6,22.0,4.12,oxide
2022-09-28 12:00:00,44.13,5.21,2.06,7.27,0.134,6.7,11.9,22.0,4.05,oxide
2022-05-12 18:00:00,44.13,4.6,0.98,7.84,0.121,8.2,13.2,22.0,3.93,oxide
