timestamp,jig_id,jig_health_score,jig_wear_rate_pct,feed_grade_pct,stroke_length_mm,stroke_frequency_spm,water_flow_m3h_m2,bed_height_mm,hutch_water_m3h,concentrate_grade_pct,tailings_grade_pct,jig_recovery,separation_efficiency,feed_size_mm,ore_type
2020-01-03 12:00:00,jig_02,88.3,0.0,49.2,21.0,187.0,2.14,264.0,2.16,48.0,7.472,0.494,0.566,8.5,silicate
2020-01-03 14:30:00,jig_03,94.4,0.0,46.28,20.9,218.0,2.74,159.0,1.28,48.0,6.121,0.58,0.622,15.4,oxide
2020-01-03 17:00:00,jig_03,63.4,40.1,38.65,20.7,208.0,2.39,285.0,1.93,48.0,7.44,0.4,0.45,15.7,silicate
2020-01-03 19:30:00,jig_02,94.8,10.8,48.77,20.8,246.0,3.69,185.0,1.17,48.0,8.996,0.458,0.473,13.0,oxide
2020-01-03 22:00:00,jig_03,95.6,0.0,37.41,22.6,162.0,3.6,202.0,2.15,48.0,6.014,0.456,0.541,11.0,oxide
2020-01-04 00:30:00,jig_04,90.5,0.0,40.28,23.0,246.0,2.46,221.0,2.12,48.0,7.755,0.418,0.45,13.0,carbonate
2020-01-04 03:00:00,jig_02,86.7,17.7,47.86,19.7,179.0,3.88,285.0,1.65,48.0,5.089,0.625,0.696,18.8,oxide
2020-01-04 05:30:00,jig_03,53.6,51.6,47.22,15.5,202.0,2.7,227.0,2.23,48.0,5.513,0.613,0.666,21.8,oxide
2020-01-04 08:00:00,jig_04,72.0,24.3,37.99,21.6,232.0,3.68,291.0,2.34,48.0,6.307,0.409,0.526,14.9,oxide
2020-01-04 10:30:00,jig_04,57.6,29.0,36.98,21.4,163.0,3.31,294.0,2.01,48.0,3.654,0.672,0.718,21.0,carbonate
2020-01-04 13:00:00,jig_02,55.3,59.9,48.09,23.6,155.0,2.8,221.0,1.22,48.0,4.406,0.664,0.738,21.1,oxide
2020-01-04 15:30:00,jig_04,91.9,9.8,35.96,22.5,229.0,3.56,171.0,1.49,45.4,6.922,0.4,0.45,14.5,oxide
2020-01-04 18:00:00,jig_03,62.6,32.1,44.11,19.1,239.0,3.33,173.0,2.4,48.0,3.485,0.574,0.774,21.7,carbonate
2020-01-04 20:30:00,jig_02,56.0,21.1,37.53,21.6,243.0,2.26,291.0,1.44,47.82,6.621,0.4,0.496,9.9,oxide
2020-01-04 23:00:00,jig_02,90.5,0.0,49.2,16.0,198.0,2.08,250.0,1.6,48.0,4.414,0.561,0.744,18.4,carbonate
2020-01-05 01:30:00,jig_04,60.7,47.4,36.18,16.5,202.0,3.2,174.0,1.52,45.68,6.965,0.435,0.45,19.8,oxide
2020-01-05 04:00:00,jig_03,68.4,31.3,40.95,22.7,228.0,2.56,173.0,1.71,48.0,5.637,0.483,0.607,22.0,carbonate
2020-01-05 06:30:00,jig_04,70.0,22.2,35.15,16.6,154.0,3.95,255.0,1.02,44.7,6.317,0.428,0.487,12.1,oxide
2020-01-05 09:00:00,jig_04,87.7,7.6,44.93,19.0,217.0,3.91,205.0,1.52,48.0,6.361,0.449,0.596,8.3,oxide
2020-01-05 11:30:00,jig_01,88.2,23.5,37.92,18.5,246.0,3.98,250.0,1.74,47.91,7.255,0.431,0.453,12.4,oxide
2020-01-05 14:00:00,jig_01,90.5,19.6,43.47,16.0,227.0,3.87,216.0,1.84,48.0,6.091,0.579,0.6,8.3,oxide
2020-01-05 16:30:00,jig_04,74.8,26.8,43.86,21.8,193.0,2.18,153.0,2.06,48.0,4.83,0.547,0.685,22.0,carbonate
2020-01-05 19:00:00,jig_04,70.2,31.8,44.31,23.3,187.0,3.08,160.0,1.05,48.0,3.049,0.592,0.803,23.9,carbonate
2020-01-05 21:30:00,jig_02,81.7,14.8,35.37,15.6,234.0,3.24,209.0,1.59,45.11,6.164,0.452,0.502,14.8,carbonate
2020-01-06 00:00:00,jig_04,72.1,16.5,44.55,22.7,207.0,3.86,225.0,1.32,48.0,3.127,0.648,0.799,24.0,oxide
2020-01-06 02:30:00,jig_03,87.2,12.7,48.26,16.4,185.0,2.68,218.0,1.09,48.0,6.369,0.531,0.623,19.4,oxide
2020-01-06 05:00:00,jig_02,78.9,21.6,35.81,22.0,230.0,3.4,218.0,1.3,46.16,5.561,0.421,0.556,19.7,carbonate
2020-01-06 07:30:00,jig_01,95.4,2.8,37.54,23.4,150.0,3.95,248.0,2.05,48.0,1.577,0.613,0.88,22.7,carbonate
2020-01-06 10:00:00,jig_02,64.8,18.8,39.34,15.3,207.0,3.64,191.0,2.16,48.0,7.573,0.4,0.45,10.6,oxide
2020-01-06 12:30:00,jig_04,77.8,11.6,36.39,20.6,208.0,2.22,265.0,1.18,47.74,4.486,0.53,0.648,11.7,oxide
2020-01-06 15:00:00,jig_04,73.1,38.1,48.2,19.1,245.0,3.4,208.0,1.67,48.0,9.072,0.4,0.462,17.4,oxide
2020-01-06 17:30:00,jig_02,58.4,39.6,42.54,23.5,175.0,2.3,213.0,1.22,48.0,8.189,0.409,0.45,16.2,carbonate
2020-01-06 20:00:00,jig_02,94.5,0.0,49.23,22.3,223.0,3.56,202.0,2.47,48.0,6.408,0.561,0.628,19.3,oxide
2020-01-06 22:30:00,jig_04,87.3,3.0,41.91,21.5,229.0,3.98,249.0,2.22,48.0,8.068,0.4,0.45,12.5,oxide
2020-01-07 01:00:00,jig_01,80.3,17.2,37.85,19.2,179.0,2.83,265.0,1.92,48.0,5.228,0.572,0.605,20.5,carbonate
2020-01-07 03:30:00,jig_03,74.1,25.5,36.42,24.4,158.0,2.27,215.0,1.75,48.0,4.089,0.591,0.679,23.8,oxide
2020-01-07 06:00:00,jig_02,86.5,15.3,39.4,22.7,206.0,2.14,194.0,1.86,48.0,1.655,0.663,0.88,23.1,oxide
2020-01-07 08:30:00,jig_02,83.9,12.9,45.16,18.8,201.0,3.17,195.0,2.19,48.0,7.099,0.4,0.551,14.2,carbonate
2020-01-07 11:00:00,jig_03,53.6,36.9,42.77,22.1,165.0,3.43,274.0,2.3,48.0,8.232,0.422,0.45,17.7,carbonate
2020-01-07 13:30:00,jig_02,68.7,32.6,47.06,24.7,161.0,2.24,155.0,2.45,48.0,4.578,0.676,0.722,23.5,carbonate
2020-01-07 16:00:00,jig_02,70.3,22.7,44.14,16.4,215.0,3.07,237.0,2.13,48.0,5.263,0.444,0.659,19.0,carbonate
2020-01-07 18:30:00,jig_04,87.1,3.5,38.89,16.3,220.0,3.16,281.0,2.37,48.0,4.552,0.549,0.666,22.5,oxide
2020-01-07 21:00:00,jig_02,99.3,0.0,36.0,16.2,246.0,2.25,298.0,1.19,48.0,3.352,0.628,0.734,21.5,carbonate
2020-01-07 23:30:00,jig_02,94.1,15.8,47.74,22.8,170.0,3.94,181.0,2.37,48.0,9.115,0.4,0.454,11.8,oxide
2020-01-08 02:00:00,jig_04,82.9,25.3,42.31,19.5,157.0,3.6,204.0,2.21,48.0,5.907,0.506,0.601,14.0,oxide
2020-01-08 04:30:00,jig_01,70.4,31.0,40.99,17.5,173.0,3.91,241.0,2.33,48.0,7.89,0.425,0.45,18.0,oxide
2020-01-08 07:00:00,jig_01,81.7,36.8,36.31,16.9,218.0,3.07,232.0,1.88,48.0,1.525,0.722,0.88,24.2,carbonate
2020-01-08 09:30:00,jig_03,96.3,0.7,39.45,16.6,157.0,2.99,175.0,1.67,48.0,4.614,0.556,0.666,21.0,oxide
2020-01-08 12:00:00,jig_02,72.6,12.4,35.14,17.9,165.0,3.85,232.0,2.4,44.36,6.764,0.4,0.45,11.5,silicate
2020-01-08 14:30:00,jig_02,52.9,32.9,39.85,24.7,194.0,2.53,254.0,2.35,48.0,7.463,0.4,0.465,13.5,oxide
2020-01-08 17:00:00,jig_02,50.8,63.6,43.42,18.3,236.0,2.8,212.0,1.12,48.0,8.359,0.437,0.45,9.6,oxide
2020-01-08 19:30:00,jig_02,82.3,21.7,44.54,15.4,246.0,2.83,259.0,1.21,48.0,8.575,0.4,0.45,13.5,carbonate
2020-01-08 22:00:00,jig_02,63.6,44.6,36.53,17.6,238.0,2.19,287.0,1.93,46.12,7.032,0.4,0.45,11.2,silicate
2020-01-09 00:30:00,jig_03,56.0,51.2,45.17,19.8,223.0,3.16,249.0,1.12,48.0,3.563,0.615,0.775,21.3,oxide
2020-01-09 03:00:00,jig_02,55.1,39.2,46.62,18.6,190.0,3.11,164.0,2.21,48.0,1.98,0.714,0.879,24.4,oxide
2020-01-09 05:30:00,jig_04,98.3,0.0,46.05,24.2,205.0,3.76,179.0,1.25,48.0,8.864,0.419,0.45,9.5,oxide
2020-01-09 08:00:00,jig_01,69.1,15.7,39.05,22.1,161.0,2.65,169.0,1.42,48.0,5.327,0.543,0.61,22.6,carbonate
2020-01-09 10:30:00,jig_04,79.9,21.3,41.06,23.4,210.0,2.19,201.0,1.95,48.0,4.8,0.604,0.666,24.5,oxide
2020-01-09 13:00:00,jig_04,70.8,22.8,47.94,24.7,214.0,2.72,229.0,1.31,48.0,5.337,0.6,0.682,19.0,oxide
2020-01-09 15:30:00,jig_02,99.6,0.0,38.93,22.3,217.0,2.47,198.0,2.17,48.0,2.331,0.764,0.829,24.2,carbonate
2020-01-09 18:00:00,jig_03,75.2,38.8,45.95,24.9,156.0,3.16,198.0,1.56,48.0,4.215,0.55,0.738,23.8,oxide
2020-01-09 20:30:00,jig_03,98.5,12.2,36.33,18.6,232.0,2.21,249.0,1.53,46.35,6.314,0.4,0.503,10.8,oxide
2020-01-09 23:00:00,jig_03,83.0,16.2,41.43,20.6,208.0,3.18,250.0,1.72,48.0,6.213,0.532,0.572,17.5,oxide
2020-01-10 01:30:00,jig_01,76.4,33.5,43.75,19.6,225.0,2.25,203.0,1.68,48.0,8.421,0.4,0.45,14.4,oxide
2020-01-10 04:00:00,jig_03,71.0,40.6,49.77,17.7,153.0,2.24,216.0,2.04,48.0,9.142,0.435,0.475,10.8,oxide
2020-01-10 06:30:00,jig_01,96.3,20.2,37.32,17.6,167.0,3.0,299.0,1.61,47.88,6.113,0.488,0.532,15.6,oxide
2020-01-10 09:00:00,jig_03,93.7,5.9,39.49,17.5,153.0,3.52,167.0,1.86,48.0,5.772,0.509,0.582,17.5,oxide
2020-01-10 11:30:00,jig_01,53.6,36.4,38.92,21.2,156.0,2.6,257.0,2.12,48.0,7.491,0.402,0.45,16.4,silicate
2020-01-10 14:00:00,jig_03,70.5,25.2,41.49,24.1,205.0,2.82,290.0,2.34,48.0,2.884,0.606,0.801,24.0,oxide
2020-01-10 16:30:00,jig_04,87.0,2.5,49.26,19.8,236.0,3.32,172.0,1.82,48.0,9.482,0.456,0.45,15.3,oxide
2020-01-10 19:00:00,jig_02,82.0,22.5,41.81,16.3,228.0,3.24,181.0,1.78,48.0,1.863,0.763,0.873,22.9,carbonate
2020-01-10 21:30:00,jig_03,72.0,32.9,48.64,19.0,197.0,2.34,272.0,1.49,48.0,8.241,0.499,0.516,16.2,silicate
2020-01-11 00:00:00,jig_02,97.9,0.0,36.28,22.1,227.0,2.64,241.0,1.31,46.14,6.517,0.406,0.487,8.5,oxide
2020-01-11 02:30:00,jig_01,82.2,25.4,37.71,15.1,223.0,3.8,218.0,1.49,48.0,1.584,0.694,0.88,24.1,oxide
2020-01-11 05:00:00,jig_02,99.3,0.0,39.5,23.6,209.0,3.67,240.0,1.36,48.0,3.251,0.486,0.765,18.2,oxide
2020-01-11 07:30:00,jig_02,76.4,37.8,47.34,18.3,238.0,3.58,161.0,1.77,48.0,7.604,0.4,0.541,13.5,oxide
2020-01-11 10:00:00,jig_03,91.8,0.0,40.62,16.0,215.0,2.48,186.0,1.64,48.0,5.682,0.527,0.6,15.6,oxide
2020-01-11 12:30:00,jig_04,58.2,63.2,46.47,15.7,161.0,2.21,271.0,1.4,48.0,8.945,0.4,0.45,8.9,carbonate
2020-01-11 15:00:00,jig_02,96.4,2.5,49.22,18.5,205.0,2.72,182.0,1.4,48.0,4.998,0.587,0.71,22.4,oxide
2020-01-11 17:30:00,jig_02,74.5,22.3,44.34,24.1,234.0,2.78,232.0,1.79,48.0,3.597,0.651,0.768,20.5,carbonate
2020-01-11 20:00:00,jig_02,77.6,40.8,37.98,19.0,182.0,3.02,178.0,1.08,48.0,6.903,0.411,0.481,14.0,oxide
2020-01-11 22:30:00,jig_04,65.5,44.8,38.95,15.2,227.0,2.87,231.0,1.74,48.0,4.557,0.57,0.666,18.3,carbonate
2020-01-12 01:00:00,jig_04,83.2,27.9,39.21,24.2,178.0,2.32,282.0,2.05,48.0,6.93,0.4,0.495,13.0,carbonate
2020-01-12 03:30:00,jig_02,91.9,21.3,48.11,24.1,189.0,2.45,279.0,1.69,48.0,2.704,0.645,0.839,22.4,oxide
2020-01-12 06:00:00,jig_04,89.3,14.4,47.1,20.8,245.0,2.31,189.0,2.47,48.0,9.066,0.4,0.45,10.7,silicate
2020-01-12 08:30:00,jig_03,58.6,52.5,36.23,17.5,236.0,2.69,173.0,1.98,48.0,3.274,0.687,0.742,21.1,carbonate
2020-01-12 11:00:00,jig_02,51.2,49.4,42.72,23.6,206.0,2.99,215.0,1.08,48.0,4.019,0.728,0.731,22.8,oxide
2020-01-12 13:30:00,jig_04,60.1,35.8,44.16,16.3,168.0,3.34,154.0,2.36,48.0,8.5,0.4,0.45,10.7,carbonate
2020-01-12 16:00:00,jig_03,58.9,51.9,41.98,16.5,192.0,3.75,198.0,2.25,48.0,6.999,0.47,0.524,15.6,silicate
2020-01-12 18:30:00,jig_03,92.1,2.1,38.9,20.5,176.0,2.86,195.0,1.92,48.0,7.09,0.4,0.479,12.8,oxide
2020-01-12 21:00:00,jig_03,98.4,10.0,39.45,17.7,226.0,3.53,263.0,1.14,48.0,4.324,0.521,0.687,23.3,carbonate
2020-01-12 23:30:00,jig_03,95.6,9.5,47.26,19.7,162.0,2.89,238.0,1.46,48.0,6.735,0.545,0.593,12.0,carbonate
2020-01-13 02:00:00,jig_04,65.3,15.4,46.08,17.1,224.0,3.07,195.0,2.04,48.0,5.972,0.563,0.63,22.0,oxide
2020-01-13 04:30:00,jig_03,99.5,16.6,44.24,19.3,232.0,2.55,189.0,1.58,48.0,4.615,0.586,0.702,20.9,carbonate
2020-01-13 07:00:00,jig_03,67.3,38.2,45.86,23.1,204.0,2.22,294.0,2.42,48.0,8.828,0.4,0.45,16.0,oxide
2020-01-13 09:30:00,jig_04,89.5,2.1,35.15,22.3,246.0,2.06,262.0,1.89,44.37,6.766,0.4,0.45,20.1,oxide
2020-01-13 12:00:00,jig_04,62.3,31.2,45.59,21.7,192.0,3.91,174.0,1.89,48.0,8.777,0.4,0.45,8.5,carbonate
2020-01-13 14:30:00,jig_02,99.3,10.7,35.88,23.9,214.0,3.17,161.0,1.73,47.54,3.767,0.612,0.7,21.8,carbonate
2020-01-13 17:00:00,jig_02,68.8,35.5,40.77,20.0,216.0,2.87,282.0,2.1,48.0,5.395,0.466,0.622,16.8,oxide
2020-01-13 19:30:00,jig_03,75.8,32.3,40.53,20.7,153.0,3.93,246.0,2.13,48.0,7.801,0.4,0.45,8.4,oxide
2020-01-13 22:00:00,jig_03,70.0,27.4,49.16,21.9,241.0,3.77,288.0,2.15,48.0,9.463,0.4,0.45,15.5,carbonate
2020-01-14 00:30:00,jig_02,89.5,10.4,39.54,22.8,191.0,3.41,286.0,1.35,48.0,4.239,0.537,0.694,14.6,carbonate
2020-01-14 03:00:00,jig_01,81.8,21.6,48.45,22.7,236.0,3.37,163.0,2.27,48.0,5.642,0.567,0.667,21.2,oxide
2020-01-14 05:30:00,jig_03,69.1,30.2,36.08,23.2,188.0,2.17,163.0,1.04,46.52,5.595,0.4,0.557,15.8,oxide
2020-01-14 08:00:00,jig_02,66.6,19.9,35.08,23.7,216.0,2.62,269.0,1.65,44.29,6.753,0.422,0.45,10.7,oxide
2020-01-14 10:30:00,jig_01,91.5,0.0,41.43,23.4,239.0,2.86,254.0,1.27,48.0,7.368,0.431,0.492,17.5,oxide
2020-01-14 13:00:00,jig_03,55.3,49.7,40.71,22.6,204.0,2.44,261.0,2.07,48.0,5.26,0.518,0.631,17.8,silicate
2020-01-14 15:30:00,jig_04,70.8,37.0,45.83,17.0,248.0,3.19,163.0,2.45,48.0,8.823,0.414,0.45,16.7,oxide
2020-01-14 18:00:00,jig_04,93.3,0.0,36.49,20.9,211.0,3.9,189.0,1.77,47.59,4.891,0.475,0.617,15.8,carbonate
2020-01-14 20:30:00,jig_01,86.3,19.3,35.23,21.6,248.0,3.16,204.0,1.73,46.78,3.566,0.531,0.711,20.4,oxide
2020-01-14 23:00:00,jig_01,77.5,24.2,41.49,19.6,224.0,3.8,183.0,1.82,48.0,7.986,0.4,0.45,10.9,oxide
2020-01-15 01:30:00,jig_04,76.5,22.9,45.24,21.2,205.0,2.87,275.0,1.54,48.0,8.551,0.4,0.46,13.6,oxide
2020-01-15 04:00:00,jig_04,94.6,1.4,44.11,15.2,187.0,2.81,264.0,1.97,48.0,4.142,0.693,0.732,14.3,oxide
2020-01-15 06:30:00,jig_02,96.2,31.1,40.93,18.8,163.0,3.44,284.0,1.94,48.0,2.426,0.706,0.831,22.2,oxide
2020-01-15 09:00:00,jig_01,93.7,0.0,40.67,18.4,177.0,2.31,198.0,1.48,48.0,7.397,0.45,0.48,8.7,carbonate
2020-01-15 11:30:00,jig_02,100.0,7.2,41.28,24.7,217.0,2.96,192.0,1.7,48.0,5.74,0.55,0.603,18.3,carbonate
2020-01-15 14:00:00,jig_01,69.6,31.6,36.95,20.5,159.0,3.19,265.0,1.86,48.0,3.208,0.572,0.752,24.7,silicate
2020-01-15 16:30:00,jig_03,52.3,36.6,37.78,25.0,181.0,2.79,179.0,1.55,48.0,6.639,0.482,0.498,19.0,oxide
2020-01-15 19:00:00,jig_02,64.5,36.5,49.17,23.9,168.0,3.64,197.0,1.12,48.0,6.048,0.478,0.649,22.0,oxide
2020-01-15 21:30:00,jig_04,75.8,11.5,41.82,20.5,201.0,3.53,221.0,2.41,48.0,7.669,0.4,0.476,15.6,carbonate
2020-01-16 00:00:00,jig_02,74.5,33.1,38.11,15.9,169.0,3.12,285.0,2.3,48.0,7.335,0.427,0.45,17.3,oxide
2020-01-16 02:30:00,jig_02,97.4,13.4,39.88,16.4,242.0,3.95,265.0,1.42,48.0,1.675,0.662,0.88,20.2,oxide
2020-01-16 05:00:00,jig_01,54.1,51.6,47.14,23.8,173.0,2.88,218.0,1.55,48.0,3.846,0.67,0.767,25.0,oxide
2020-01-16 07:30:00,jig_03,51.7,50.9,46.21,15.7,240.0,2.87,182.0,1.71,48.0,6.457,0.529,0.601,20.8,carbonate
2020-01-16 10:00:00,jig_01,54.8,43.3,48.64,15.2,184.0,3.07,278.0,1.71,48.0,9.363,0.4,0.45,11.3,oxide
2020-01-16 12:30:00,jig_01,65.9,46.4,47.05,18.7,232.0,3.83,249.0,1.85,48.0,9.058,0.4,0.45,16.7,carbonate
2020-01-16 15:00:00,jig_04,85.7,21.8,47.01,19.0,228.0,3.03,152.0,1.14,48.0,4.557,0.603,0.723,22.8,oxide
2020-01-16 17:30:00,jig_02,56.3,42.4,42.57,17.9,163.0,2.81,179.0,2.31,48.0,4.982,0.613,0.666,20.6,oxide
2020-01-16 20:00:00,jig_03,85.2,17.9,35.36,19.1,197.0,2.23,218.0,1.04,47.06,3.426,0.507,0.723,18.4,carbonate
2020-01-16 22:30:00,jig_01,74.7,28.2,38.42,23.2,223.0,3.5,202.0,1.68,48.0,4.937,0.548,0.633,21.9,carbonate
2020-01-17 01:00:00,jig_04,67.2,39.9,35.65,18.3,200.0,3.7,274.0,1.5,46.29,5.067,0.509,0.594,20.1,carbonate
2020-01-17 03:30:00,jig_02,60.8,39.7,49.33,20.0,181.0,3.0,232.0,2.11,48.0,7.659,0.467,0.556,22.6,silicate
2020-01-17 06:00:00,jig_02,76.4,27.6,48.14,21.8,196.0,3.09,292.0,1.22,48.0,8.873,0.4,0.473,9.5,oxide
2020-01-17 08:30:00,jig_02,81.5,6.7,49.08,16.5,186.0,3.78,240.0,1.36,48.0,7.808,0.431,0.545,19.7,oxide
2020-01-17 11:00:00,jig_04,54.7,59.8,39.88,16.6,227.0,3.72,288.0,1.53,48.0,4.631,0.605,0.668,24.8,oxide
2020-01-17 13:30:00,jig_02,69.5,18.8,42.06,23.1,159.0,3.17,207.0,1.34,48.0,2.969,0.598,0.798,24.7,carbonate
2020-01-17 16:00:00,jig_01,72.2,35.9,39.6,25.0,244.0,3.01,157.0,2.06,48.0,7.622,0.422,0.45,10.9,carbonate
2020-01-17 18:30:00,jig_01,86.8,24.8,37.31,23.1,232.0,2.7,270.0,1.49,48.0,5.886,0.461,0.549,8.1,oxide
2020-01-17 21:00:00,jig_02,54.1,42.5,39.71,18.9,174.0,2.6,209.0,1.94,48.0,7.644,0.4,0.45,14.7,oxide
2020-01-17 23:30:00,jig_03,66.9,30.6,39.87,17.3,228.0,2.01,288.0,2.07,48.0,7.27,0.449,0.479,8.6,oxide
2020-01-18 02:00:00,jig_01,78.8,25.0,37.21,18.1,229.0,3.57,293.0,1.44,47.93,5.84,0.434,0.552,11.9,silicate
2020-01-18 04:30:00,jig_04,60.5,42.5,48.76,20.4,236.0,3.4,254.0,2.05,48.0,5.311,0.639,0.689,16.6,oxide
2020-01-18 07:00:00,jig_01,70.7,37.5,39.62,18.0,197.0,2.76,161.0,2.0,48.0,6.579,0.459,0.526,17.4,carbonate
2020-01-18 09:30:00,jig_03,62.8,25.9,48.96,21.3,169.0,3.02,174.0,1.66,48.0,5.726,0.484,0.666,20.7,silicate
2020-01-18 12:00:00,jig_01,93.1,0.0,46.63,22.7,180.0,3.84,191.0,2.37,48.0,6.79,0.469,0.584,15.7,oxide
2020-01-18 14:30:00,jig_04,62.9,33.0,44.37,16.7,152.0,2.58,189.0,1.33,48.0,1.892,0.693,0.878,24.8,oxide
2020-01-18 17:00:00,jig_03,74.9,28.9,48.36,22.7,192.0,3.57,177.0,2.28,48.0,9.0,0.4,0.468,11.8,silicate
2020-01-18 19:30:00,jig_01,73.5,23.4,37.03,24.8,159.0,2.01,270.0,1.27,47.82,5.628,0.458,0.566,14.0,oxide
2020-01-18 22:00:00,jig_02,50.5,49.9,41.27,17.3,220.0,2.58,209.0,1.51,48.0,6.123,0.576,0.576,23.6,silicate
2020-01-19 00:30:00,jig_01,88.0,0.0,37.02,23.2,177.0,2.54,247.0,1.85,46.74,7.126,0.4,0.45,11.4,carbonate
2020-01-19 03:00:00,jig_01,89.5,12.4,43.71,17.8,239.0,3.38,226.0,1.87,48.0,5.434,0.492,0.645,22.8,oxide
2020-01-19 05:30:00,jig_02,62.7,36.1,42.78,24.7,226.0,3.72,163.0,2.03,48.0,7.966,0.4,0.468,17.4,silicate
2020-01-19 08:00:00,jig_01,51.5,56.8,36.01,23.3,194.0,3.53,181.0,2.43,45.51,6.857,0.434,0.456,16.5,carbonate
2020-01-19 10:30:00,jig_01,75.0,37.4,47.57,15.5,223.0,3.88,278.0,1.14,48.0,7.647,0.4,0.541,17.0,oxide
2020-01-19 13:00:00,jig_04,72.5,28.9,44.85,19.9,244.0,3.01,162.0,2.1,48.0,8.634,0.4,0.45,12.6,carbonate
2020-01-19 15:30:00,jig_03,50.2,47.0,36.25,16.7,156.0,3.0,275.0,2.11,46.58,5.839,0.558,0.54,19.8,oxide
2020-01-19 18:00:00,jig_01,93.2,0.8,39.31,18.1,248.0,2.98,264.0,2.04,48.0,6.469,0.4,0.53,10.4,carbonate
2020-01-19 20:30:00,jig_03,91.4,0.0,41.02,18.1,225.0,3.86,214.0,1.91,48.0,5.104,0.526,0.644,23.3,oxide
2020-01-19 23:00:00,jig_02,56.1,49.1,46.21,22.3,188.0,2.43,233.0,1.36,48.0,6.243,0.469,0.614,20.8,carbonate
2020-01-20 01:30:00,jig_04,63.8,37.9,47.8,17.0,182.0,3.09,291.0,1.7,48.0,9.201,0.4,0.45,16.1,oxide
